%Time	air T	T Winkler	T Boone
734334.5417	84.5	66.81045678	72.21
734334.5833	83.4	67.32	73.18
734334.625	86.1	68.31	72.85
734334.6667	82.6	69.96	74.31
734334.7083	80.50000001	71.04	73.76000001
734334.75	80.4	70.51	71.47
734334.7917	78.5	70.82	70.68
734334.8333	74.40000001	69.93	69.27
734334.875	71.9	68.86	68.07
734334.9167	70.1	67.87	67.01
734334.9583	69.7	67	66.27
734335	68.61147541	66.31	65.83
734335.0417	69.3	65.7	65.46
734335.0833	67.8	65.25	65.19
734335.125	71.1	64.81	64.89
734335.1667	67.8	64.52	64.76
734335.2083	67.1	64.23	64.46
734335.25	67.2	63.93	64.19
734335.2917	74	63.63	63.97
734335.3333	81.29999998	63.47	64.13
734335.375	83.3	63.61	64.89
734335.4167	85.8	64.38	66.5
734335.4583	84.7	65.51	68.62999999
734335.5	78.1	66.53	71.29
734335.5417	83.4	67.43	71.89
734335.5833	81.20000001	68.91999999	70.99
734335.625	81.6	69.68	72
734335.6667	82.8	69.89	72.46
734335.7083	81.5	70.81	73.75999999
734335.75	78.6	71.15	73.52
734335.7917	77	70.77	71.5
734335.8333	75.9	70.21	69.88
734335.875	74.6	69.23	68.51
734335.9167	73.7	68.16	67.4
734335.9583	71.90000001	67.26	66.54
734336	69.71639344	66.44	65.95
734336.0417	70.7	65.77	65.57
734336.0833	72.99999999	65.21	65.37
734336.125	72.2	64.8	65.24
734336.1667	72.8	64.53	65.16
734336.2083	73.6	64.33	64.97
734336.25	73.1	64.21	64.89
734336.2917	75.6	64.13	64.79
734336.3333	76.7	64.25	65.07
734336.375	78.3	64.57	65.98
734336.4167	75.8	65.17	67.02
734336.4583	73.90000001	65.62	67.62
734336.5	75.9	66.03	67.63
734336.5417	77.8	66.65	69.6
734336.5833	83.59999998	67.11	71.3
734336.625	80.8	67.96	71.72
734336.6667	80.1	68.02	71.02
734336.7083	76.40000001	68.3	70.98
734336.75	77	68	69.79
734336.7917	74.8	67.67	68.75
734336.8333	73.4	67.14	67.89
734336.875	73.5	66.65	67.08
734336.9167	69.7	66.17	66.33
734336.9583	68.1	65.72	65.82
734337	67.80983607	65.25	66.05
734337.0417	68.4	64.92	66.15
734337.0833	69.3	64.56	65.56
734337.125	70.2	64.18	64.96
734337.1667	71.3	63.82	64.65
734337.2083	71.4	63.57	64.56
734337.25	72	63.48	64.42
734337.2917	74.2	63.46	64.35
734337.3333	76.69999999	63.78	64.99
734337.375	76.7	64.12	65.49
734337.4167	79.6	64.84	66.57
734337.4583	83.79999999	65.69	68.43999999
734337.5	84.5	66.76	70.86
734337.5417	84.3	67.85	72.44
734337.5833	80.10000001	68.86	73.39
734337.625	83	69.93	73.34
734337.6667	79.8	71.27	74.57
734337.7083	77.20000001	71.08	72.90000001
734337.75	78.9	71.19	71.33
734337.7917	73.1	71.09	70.27
734337.8333	72.6	70.05	68.94
734337.875	72.2	69.08	67.89
734337.9167	72.2	68.05	67.04
734337.9583	71	67.28	66.54
734338	69.72622951	66.67	66.24
734338.0417	71.3	66.17	65.86
734338.0833	71	65.71	65.49
734338.125	71.3	65.33	65.34
734338.1667	71.8	65	65.15
734338.2083	71.3	64.77	65.1
734338.25	71.8	64.56	64.94
734338.2917	71.3	64.38	64.8
734338.3333	70.1	64.31	64.95
734338.375	69	64.29	64.99
734338.4167	71.8	64.39	68.24
734338.4583	73.79999999	64.42	68.14
734338.5	78.3	64.71	67.77
734338.5417	82	65.22	68.72
734338.5833	82.7	66.23	69.73
734338.625	84.5	67.77	72.84
734338.6667	84.7	69.25	73.87
734338.7083	84.3	70.19	73.87
734338.75	81.1	70.69	73.01
734338.7917	78.4	70.48	71.38
734338.8333	75.20000001	69.51	69.5
734338.875	74	68.47	68.09
734338.9167	73.2	67.66	67.16
734338.9583	73	66.95	66.49
734339	73.70983607	66.28	66.12
734339.0417	74.3	65.89	66.32
734339.0833	74.5	65.76	66.22
734339.125	73	65.74	66.21
734339.1667	71.4	65.71	66.2
734339.2083	71.7	65.49	65.75
734339.25	69.5	65.17	65.33
734339.2917	76.6	64.83	65.09
734339.3333	80.59999999	64.61	65.15
734339.375	81.5	64.74	66
734339.4167	81.4	65.39	67.37
734339.4583	84.99999999	66.44	69.52999999
734339.5	73.8	67.68	71.62
734339.5417	81.8	68.68	71.09
734339.5833	81.1	69.58	70
734339.625	83.6	69.58	71.24
734339.6667	85.5	70.01	72.88
734339.7083	85.2	70.78	73.39
734339.75	82.7	71.16	73.66
734339.7917	79.8	71.52	72.05
734339.8333	75.50000001	70.7	69.88
734339.875	71.5	69.59	68.6
734339.9167	73.2	68.48	67.58
734339.9583	70.20000001	67.53	66.8
734340	68.33606557	66.74	66.15
734340.0417	70.5	66.08	65.64
734340.0833	71.9	65.48	65.29
734340.125	72.4	64.95	65.07
734340.1667	73.7	64.48	65.01
734340.2083	73.9	64.16	65.12
734340.25	74.8	63.98	65.16
734340.2917	75.3	64	65.36
734340.3333	76.9	64.2	65.75
734340.375	77.8	64.62	66.7
734340.4167	78.5	65.2	67.36
734340.4583	82.59999999	66.01	69.19
734340.5	84.5	66.67	69.62
734340.5417	84.7	67.9	72.35
734340.5833	83.3	69.18	74.38999999
734340.625	82.7	70.91	75.95
734340.6667	80.8	72.03	74.63
734340.7083	80.3	72.3	72.93000001
734340.75	78.4	72.17	72.38
734340.7917	77.5	71.42	71.09
734340.8333	75.60000001	70.52	69.99
734340.875	75.8	69.75	68.94
734340.9167	75.1	69.1	68.32
734340.9583	75	68.56	67.87
734341	74.08852459	68.18	67.64
734341.0417	73.4	67.86	67.27
734341.0833	72.2	67.55	66.85
734341.125	72.5	67.26	66.55
734341.1667	72.7	67.05	66.47
734341.2083	71.5	66.8	66.4
734341.25	72.1	66.51	66.45
734341.2917	77.6	66.29	66.12
734341.3333	79.99999999	66.22	66.82
734341.375	83.1	66.44	67.57
734341.4167	85.1	66.73	68.56
734341.4583	86.6	67.66	70.41999999
734341.5	85.6	68.78	72.66
734341.5417	87.5	70.09	74.84
734341.5833	89.89999999	71.70999999	76.63999999
734341.625	88.8	73.42	79.73
734341.6667	89.5	75.06	78.96
734341.7083	88.3	76.11	78.64
734341.75	84.7	76.39	75.79
734341.7917	79.7	75.89	74.19
734341.8333	76.70000001	74.63	72.05000001
734341.875	74.5	73.07	70.45
734341.9167	72.7	71.58	69.36
734341.9583	71.4	70.35	68.6
734342	69.99344262	69.4	67.96
734342.0417	69.6	68.58	67.49
734342.0833	71.2	67.87	67.01
734342.125	71	67.28	66.74
734342.1667	70.4	66.71	66.36
734342.2083	68.9	66.18	66.05
734342.25	71.2	65.71	65.78
734342.2917	76	65.27	65.8
734342.3333	81.79999998	65.09	65.85
734342.375	83	65.19	66.5
734342.4167	86.2	65.72	68.07
734342.4583	86.9	66.81	70.50999999
734342.5	86.4	67.83	72.64
734342.5417	89.2	69.27	74.86
734342.5833	90.5	71.06999999	76.20999999
734342.625	90.3	72.71	79.51
734342.6667	91.1	74.68	78.64
734342.7083	89.5	75.85	77.77
734342.75	87.9	76.26	76.43
734342.7917	83.8	76.2	74.85
734342.8333	77.90000002	75.07	72.35
734342.875	75	73.58	70.78
734342.9167	74.8	71.96	69.64
734342.9583	73.3	70.64	68.9
734343	71.48032787	69.62	68.37
734343.0417	70.3	68.84	67.92
734343.0833	70.2	68.16	67.4
734343.125	69.6	67.54	67
734343.1667	71.8	66.98	66.63
734343.2083	69.90000001	66.42	66.28
734343.25	72.5	65.87	66.12
734343.2917	77.2	65.35	65.81
734343.3333	83.69999998	65.07	65.89
734343.375	86.4	65.07	66.71
734343.4167	88.3	65.7	68.61
734343.4583	89.7	66.83	70.67999999
734343.5	91.5	68.16	72.82
734343.5417	91.6	69.79	74.96
734343.5833	93.1	71.67999999	76.24
734343.625	93.4	73.48	79.4
734343.6667	92.8	75.06	78.85
734343.7083	92.5	76.07	77.9
734343.75	89.7	76.62	76.92
734343.7917	85.6	76.43	75.04
734343.8333	80.60000001	75.23	72.40000001
734343.875	75.6	73.64	70.74
734343.9167	73.1	72.08	69.72
734343.9583	73.9	70.67	68.99
734344	72.65081967	69.59	68.4
734344.0417	75.7	68.8	67.93
734344.0833	77.2	68.15	67.62
734344.125	76.8	67.62	67.32
734344.1667	78.1	67.21	67.32
734344.2083	75.60000001	67.03	67.49
734344.25	75	66.94	67.45
734344.2917	79.4	66.75	67.27
734344.3333	81.19999999	66.83	67.44
734344.375	84.4	67.05	68.39
734344.4167	85.6	67.55	69.61
734344.4583	86.9	68.48	71.23999999
734344.5	91.4	69.62	73.47
734344.5417	91.8	70.99	75.41
734344.5833	92.8	72.67	77.34999999
734344.625	91.7	74.23	80.15
734344.6667	89.9	75.58	79.28
734344.7083	83.80000002	76.28	78.05
734344.75	82.2	75.69	75.11
734344.7917	81.7	75.02	73.09
734344.8333	79.10000001	74.25	71.96
734344.875	78.2	73.1	70.76
734344.9167	76.8	71.85	69.73
734344.9583	75.9	70.75	69.03
734345	74.39016393	69.78	68.54
734345.0417	73.8	68.97	68.06
734345.0833	74.5	68.29	67.66
734345.125	73.5	67.78	67.5
734345.1667	73.9	67.41	67.49
734345.2083	74	67.06	67.14
734345.25	74.3	66.81	67.12
734345.2917	75.3	66.56	66.89
734345.3333	81.79999998	66.53	67.08
734345.375	83.4	66.68	67.66
734345.4167	80.8	67.03	68.89
734345.4583	83.69999999	67.81	70.28
734345.5	85.1	68.81	72.12
734345.5417	83.7	70	74.89
734345.5833	83.5	71.65	77.24
734345.625	80.7	73.13	78.09
734345.6667	81.9	74.67	76.64
734345.7083	78.20000001	74.56	74.4
734345.75	72.6	75	73
734345.7917	72.1	73.07	75.32
734345.8333	71.2	71.34000001	73.95000001
734345.875	72.1	68.85	72.46
734345.9167	70.6	67.65	71.18
734345.9583	68.60000001	67.46	70.27
734346	68.1	67.3	69.63
734346.0417	68.1	67.02	69.29
734346.0833	67.8	66.62	68.92
734346.125	67.5	66.21	68.62
734346.1667	67.8	65.83	68.26
734346.2083	69	65.47	67.96
734346.25	69.9	65.2	67.72
734346.2917	72.4	65.01	67.65
734346.3333	75.89999999	65.06	64.65
734346.375	78.3	65.4	66.37
734346.4167	77.7	66.14	68.49
734346.4583	80.19999999	66.87	69.35
734346.5	79.6	68.17	71.78
734346.5417	82.1	68.55	73.36
734346.5833	83.3	69.96	74.09
734346.625	82.6	71.05	73.77
734346.6667	81.4	72.36	73.17
734346.7083	82	73.4	71.66
734346.75	75.4	74.11	69.8
734346.7917	74.1	73.16	68.25
734346.8333	72.10000001	72.03	66.96
734346.875	71.7	70.78	66.18
734346.9167	71.7	69.8	65.66
734346.9583	71.2	68.88	65.18
734347	71.29016393	67.84	64.79
734347.0417	70.7	67.25	64.48
734347.0833	70.3	66.79	64.18
734347.125	70.9	66.54	63.86
734347.1667	70.2	66.63	63.59
734347.2083	70.8	66.84	63.33
734347.25	72	67.09	63.15
734347.2917	71.6	67.25	63.35
734347.3333	72.6	67.33	64.3
734347.375	75.6	67.43	66.09
734347.4167	78.7	67.72	68.41
734347.4583	82.89999999	68.28	70.81
734347.5	84.1	69.29	72.7
734347.5417	85.3	70.5	73.91
734347.5833	88.19999999	72.06	74.35
734347.625	88.3	73.24	74.05
734347.6667	87.1	73.79	73.31
734347.7083	85.00000001	73.84	71.96
734347.75	80.6	73.57	70.3
734347.7917	78.4	72.6	68.65
734347.8333	75.60000001	71.74	67.35
734347.875	74.4	70.87	66.53
734347.9167	75	70.03	65.96
734347.9583	73.4	69.33	65.5
734348	71.60491803	68.81	65.1
734348.0417	71.9	68.34	64.83
734348.0833	71.9	67.99	64.51
734348.125	72.4	67.68	64.23
734348.1667	73.2	67.44	63.95
734348.2083	73.1	67.26	63.74
734348.25	73.3	67.13	63.58
734348.2917	77.5	66.98	63.95
734348.3333	78.6	67.08	65.06
734348.375	81.4	67.18	66.51
734348.4167	82.1	67.6	68.51
734348.4583	83.1	68.13	71.09
734348.5	83.8	68.96	73.18
734348.5417	85.1	70.04	73.86
734348.5833	87.19999999	71.42	74.92
734348.625	88.7	72.9	75.05
734348.6667	84.4	74.39	74.21
734348.7083	81.80000001	75.01	72.72
734348.75	83.2	74.77	70.92
734348.7917	77.5	74.18	69.42
734348.8333	76.6	72.9	68.13
734348.875	76.2	71.69	67.24
734348.9167	74.9	70.71	66.66
734348.9583	72.20000001	69.96	66.3
734349	71.1852459	69.4	66.09
734349.0417	70.3	68.96	65.9
734349.0833	69.1	68.45	65.62
734349.125	68.7	67.95	65.41
734349.1667	67.7	67.43	65.27
734349.2083	67.6	66.9	65.23
734349.25	67.2	66.42	65.25
734349.2917	71.2	66.19	65.59
734349.3333	73.89999999	66.11	66.59
734349.375	76.3	66.14	67.97
734349.4167	77.9	66.5	70.1
734349.4583	80.19999999	67.13	72.33
734349.5	82	67.91	74.31
734349.5417	83.4	69.21	75.54
734349.5833	83.9	70.79	76.11
734349.625	84.8	72.24	75.58
734349.6667	84.5	73.69	74.93
734349.7083	84.3	74.42	72.16
734349.75	81.7	74.62	70.52
734349.7917	76.1	74.19	69.1
734349.8333	70.30000002	72.7	67.97
734349.875	68.5	71.02	67.28
734349.9167	66.7	69.42	66.94
734349.9583	65.6	68.15	66.77
734350	64.8852459	67.25	67.44
734350.0417	64	66.53	66.77
734350.0833	64.5	65.91	66.14
734350.125	65	65.42	65.74
734350.1667	65.4	64.97	65.45
734350.2083	66	64.63	65.16
734350.25	66.1	64.36	65.08
734350.2917	66.7	64.19	65.02
734350.3333	65.6	64.11	65.77
734350.375	66	64.03	66.7
734350.4167	67.1	64.03	69.08
734350.4583	65.9	64.12	70.15
734350.5	66.4	64.13	72.18
734350.5417	67.7	64.16	74.5
734350.5833	69.4	64.26	75.53
734350.625	68.4	64.62	73.68
734350.6667	70.4	64.92	76.61
734350.7083	69.2	65.64999999	73.41
734350.75	67.9	65.93	71.21
734350.7917	67.9	65.89	69.69
734350.8333	66.6	65.65	68.93
734350.875	67.5	65.19	68.5
734350.9167	66.6	64.83	67.61
734350.9583	67	64.58	67.01
734351	65.30163934	64.4	66.66
734351.0417	65.4	64.27	66.33
734351.0833	65.3	64.15	65.83
734351.125	65.8	63.98	65.68
734351.1667	65.8	63.87	65.58
734351.2083	65.6	63.73	65.43
734351.25	65.7	63.6	65.26
734351.2917	65.1	63.49	65.23
734351.3333	65.8	63.4	65.9
734351.375	68.8	63.48	67.43
734351.4167	71.7	63.86	69.58
734351.4583	70.3	64.71	70.93
734351.5	69.4	65.81	71.74
734351.5417	71.1	66.75	73.27
734351.5833	67.00000001	67.6	71.38
734351.625	67.4	68.54	73.27
734351.6667	67.7	68.14	72.57
734351.7083	66.1	68.58	70.97
734351.75	65.5	68.21	69.69
734351.7917	65.8	67.29	68.39
734351.8333	65.6	66.49	67.35
734351.875	65.9	65.82	66.73
734351.9167	65.2	65.36	66.15
734351.9583	65.2	64.99	65.73
734352	65.29016393	64.74	65.31
734352.0417	64.7	64.49	64.96
734352.0833	64.6	64.24	64.6
734352.125	64.5	63.98	64.31
734352.1667	64.8	63.75	64.01
734352.2083	64.7	63.57	63.75
734352.25	64.8	63.39	63.61
734352.2917	65.6	63.28	63.76
734352.3333	66.7	63.21	64.75
734352.375	68.6	63.29	66.46
734352.4167	70.6	63.62	68.61
734352.4583	69.7	64.15	70.5
734352.5	69.4	64.77	72.74
734352.5417	72.7	65.14	74.01
734352.5833	73.4	66.21	67.28
734352.625	71.7	66.56	68.29
734352.6667	70.3	67.27	68.71
734352.7083	69.5	67.82	68.23
734352.75	70.3	67.87	67.48
734352.7917	70.6	67.6	67.03
734352.8333	70.9	67.02	66.64
734352.875	71.3	66.38	66.26
734352.9167	71.3	65.92	65.95
734352.9583	71.5	65.58	65.8
734353	71.29508197	65.32	65.73
734353.0417	71	65.16	65.69
734353.0833	71.2	65.01	65.57
734353.125	70.9	64.87	65.5
734353.1667	70.4	64.78	65.45
734353.2083	70.2	64.67	65.39
734353.25	70.6	64.57	65.39
734353.2917	71	64.48	65.4
734353.3333	73.79999999	64.48	65.51
734353.375	78.1	64.72	66.12
734353.4167	80.3	65.21	67.45
734353.4583	84.09999999	65.98	68.75
734353.5	87	67.08	70.77
734353.5417	83.4	68.44	73.24
734353.5833	81.9	69.55	74.69
734353.625	82	71.49	74.72
734353.6667	82	72.79	74.67
734353.7083	81.2	73.18	72.38000001
734353.75	80.1	72.93	70.57
734353.7917	78.7	72.58	69.85
734353.8333	74.50000001	71.44	69
734353.875	74.3	70.22	68.08
734353.9167	71.6	69.26	67.44
734353.9583	72.5	68.46	67.11
734354	70.61967213	67.78	66.76
734354.0417	71.8	67.19	66.58
734354.0833	69.50000001	66.67	66.26
734354.125	72.7	66.23	66.09
734354.1667	73.6	65.82	65.94
734354.2083	73.1	65.47	65.99
734354.25	74.6	65.36	66.11
734354.2917	76.4	65.36	66.19
734354.3333	77	65.59	66.59
734354.375	73.9	65.77	66.89
734354.4167	72.7	65.89	66.91
734354.4583	78.39999998	65.88	66.71
734354.5	84.8	66.27	67.66
734354.5417	86.9	66.93	70.23
734354.5833	88.79999999	68.59999999	73.71999999
734354.625	90.3	70.35	75.72
734354.6667	85.8	72.82	76.28
734354.7083	87.5	74.37	74.9
734354.75	81.5	74.54	73.88
734354.7917	77.7	74.04	71.92
734354.8333	74.40000001	72.87	70.55
734354.875	74	71.52	69.56
734354.9167	73.8	70.34	68.87
734354.9583	73.3	69.51	68.33
734355	72.79508197	68.88	67.96
734355.0417	72.5	68.38	67.61
734355.0833	74.29999999	67.97	67.43
734355.125	72.2	67.57	67.16
734355.1667	75.5	67.14	66.9
734355.2083	77	66.83	66.97
734355.25	77	66.47	66.82
734355.2917	78.4	66.24	66.9
734355.3333	83.09999999	66.29	67.26
734355.375	81.6	66.37	67.76
734355.4167	84.6	66.87	68.87
734355.4583	86.3	68	70.78999999
734355.5	88	68.94	72.82
734355.5417	88.9	70.45	75.15
734355.5833	82.50000002	71.37	75.37
734355.625	82.6	72.09	74.64
734355.6667	71.9	72.66	73.61
734355.7083	69.70000001	71.82	70.71000002
734355.75	70.2	70.47	72.57
734355.7917	69.7	69.13	71.66
734355.8333	70.2	67.94	71.22
734355.875	70.4	67.37	69.91
734355.9167	70.2	66.8	69
734355.9583	70.7	66.47	68.56
734356	70.88360656	66.36	67.82
734356.0417	69.9	66.3	67.41
734356.0833	71.79999999	66.29	67.12
734356.125	70.7	66.24	66.85
734356.1667	70.3	66.13	66.55
734356.2083	69.5	65.97	66.29
734356.25	69.3	65.83	66.1
734356.2917	72.7	65.7	65.98
734356.3333	75.09999999	65.66	66.23
734356.375	75.4	65.9	66.66
734356.4167	79.1	66.56	67.87
734356.4583	80.8	67.13	68.52
734356.5	83.2	67.76	70.65
734356.5417	84.4	68.95	73.05
734356.5833	83.9	69.96	73.64
734356.625	86.5	71.25	74.93
734356.6667	84.5	72.52	74.79
734356.7083	82.00000001	73.22	74.53
734356.75	78.6	73.03	72.86
734356.7917	77.5	72.25	71.36
734356.8333	71.90000002	71.27	70.06
734356.875	69.8	70.14	68.95
734356.9167	68.1	69.08	68.12
734356.9583	66.4	68.17	67.43
734357	65.39836066	67.3	66.97
734357.0417	65.3	66.49	66.59
734357.0833	64.6	65.79	66.22
734357.125	64	65.28	66.09
734357.1667	63.5	64.84	65.85
734357.2083	62.7	64.41	65.48
734357.25	62.3	63.93	65.19
734357.2917	65.7	63.48	65
734357.3333	70.49999999	63.22	65.07
734357.375	74.6	63.26	65.63
734357.4167	76.7	63.68	67.08
734357.4583	75.5	64.48	68.63999999
734357.5	76.6	65.63	70.51
734357.5417	76.8	66.54	71.46
734357.5833	78	67.64	72.89999999
734357.625	77.9	68.43	73.46
734357.6667	77.6	69.07	72.81
734357.7083	74.90000001	69.5	72.86
734357.75	75.2	69.11	72.28
734357.7917	71.6	68.76	70.43
734357.8333	71.2	68.09	69.11
734357.875	70.1	67.3	68.17
734357.9167	66.7	66.55	67.6
734357.9583	65.7	65.8	66.9
734358	64.88196721	65.13	66.46
734358.0417	63.8	64.47	66.08
734358.0833	62.4	63.85	65.75
734358.125	61.8	63.3	65.43
734358.1667	61.4	62.82	65.23
734358.2083	61.8	62.38	65
734358.25	61	61.96	64.74
734358.2917	64.4	61.56	64.48
734358.3333	71.49999998	61.46	64.67
734358.375	74.6	61.77	65.56
734358.4167	75.7	62.54	67.15
734358.4583	75.5	63.46	68.06
734358.5	78.7	64.7	69.02
734358.5417	76.1	65.65	70.24
734358.5833	79.49999999	66.85	71.56
734358.625	78.6	68.06	71.57
734358.6667	77.3	69.19	72.55
734358.7083	77.7	70.21	71.71
734358.75	78.1	71.08	70.69
734358.7917	75.8	71.14	70.32
734358.8333	71.40000001	70.31	69.04
734358.875	70	69.13	67.92
734358.9167	68.8	67.9	67.18
734358.9583	67.6	66.86	66.74
734359	67.48196721	66.03	66.39
734359.0417	66.4	65.32	66.07
734359.0833	65.2	64.72	65.71
734359.125	64	64.23	65.5
734359.1667	63.9	63.86	65.33
734359.2083	63.4	63.5	65.12
734359.25	62.9	63.16	64.93
734359.2917	66.5	62.86	64.78
734359.3333	71.99999998	62.67	64.95
734359.375	80.7	62.78	65.75
734359.4167	83.6	63.25	67.45
734359.4583	82.5	64.34	69.03999999
734359.5	86.5	65.5	70.72
734359.5417	88.2	67.08	72.66
734359.5833	86.8	68.64	74.45
734359.625	88.6	70.14	75.61
734359.6667	81.7	71.85	75.56
734359.7083	80.1	73.35	75.33
734359.75	80	73.71	73.04
734359.7917	79.6	73.6	72.01
734359.8333	76.60000001	72.7	70.69
734359.875	73.1	71.43	69.6
734359.9167	71.5	70.08	68.61
734359.9583	70.3	68.92	68.13
734360	68.99180328	67.93	67.73
734360.0417	68.5	67.13	67.34
734360.0833	67.9	66.47	67.01
734360.125	67.5	65.93	66.66
734360.1667	67.4	65.44	66.34
734360.2083	66.4	64.99	66.07
734360.25	65.9	64.58	65.85
734360.2917	70.8	64.17	65.66
734360.3333	78.79999998	63.95	65.71
734360.375	83.5	64.1	66.67
734360.4167	81.6	64.66	68.32
734360.4583	83.99999999	65.8	70.35
734360.5	89.3	66.93	71.71
734360.5417	87.4	68.4	74.17
734360.5833	90.99999999	69.97	76.37
734360.625	91.5	71.63	77.41
734360.6667	82.2	73.43	77.47
734360.7083	83	75.02	77.35
734360.75	79.8	74.99	74.83
734360.7917	77.8	74.39	72.67
734360.8333	75.00000001	73.43	71.2
734360.875	74.4	72.05	70.11
734360.9167	72.6	70.64	69.24
734360.9583	70.30000001	69.36	68.6
734361	69.89344262	68.39	68.12
734361.0417	69.5	67.7	67.76
734361.0833	70.1	67.2	67.55
734361.125	70.8	66.72	67.28
734361.1667	70.8	66.28	67.08
734361.2083	72.79999999	65.87	66.94
734361.25	72.6	65.54	66.85
734361.2917	76.3	65.32	66.85
734361.3333	79.89999999	65.48	67.1
734361.375	80.9	65.93	67.85
734361.4167	84.5	66.43	69.17
734361.4583	87.39999999	67.31	71.17999999
734361.5	88.5	68.28	73.5
734361.5417	89	69.77	75.32
734361.5833	88.8	71.4	76.49
734361.625	83.7	72.65	76.98
734361.6667	85.3	73.71	76.8
734361.7083	77.30000002	74.51	75.89
734361.75	75.5	74.16	74.49
734361.7917	74.9	73.16	73.45
734361.8333	72.70000001	72.18	72.19
734361.875	72.5	70.95	71.63
734361.9167	72.2	69.58	70.95
734361.9583	71.9	68.92	70.18
734362	72.10655738	68.45	69.46
734362.0417	72.5	67.81	68.85
734362.0833	73	67.38	68.43
734362.125	71.9	67.12	68.06
734362.1667	71.9	66.95	67.7
734362.2083	73.69999999	66.8	67.45
734362.25	73.9	66.84	67.36
734362.2917	73.5	66.98	67.44
734362.3333	74.3	67.09	67.56
734362.375	76.8	67.21	67.81
734362.4167	80.3	67.44	68.25
734362.4583	84.89999999	68.33	70.38
734362.5	87.7	69.21	71.47
734362.5417	87.4	70.38	74.39
734362.5833	90.69999999	71.3	74.82
734362.625	89.5	72.37	76.41
734362.6667	89.4	73.32	76.92
734362.7083	88.6	74.18	76.29
734362.75	83.9	74.62	74.99
734362.7917	72.8	74.15	74.13
734362.8333	71.2	72.94	72.31
734362.875	70.4	71.63	70.7
734362.9167	70.4	70.59	69.83
734362.9583	70.2	69.79	69.28
734363	69.98196721	69.09	68.73
734363.0417	68.9	68.49	68.24
734363.0833	68.7	67.89	67.84
734363.125	69.4	67.27	67.46
734363.1667	67	66.65	67.14
734363.2083	66.1	66.08	66.91
734363.25	65.6	65.55	66.76
734363.2917	68.3	65.09	66.59
734363.3333	74.89999998	64.85	66.68
734363.375	81.3	64.91	67.52
734363.4167	83.7	65.37	69.1
734363.4583	84.8	66.32	71.00999999
734363.5	84.6	67.52	72.61
734363.5417	85.2	68.93	72.77
734363.5833	85.7	70.5	74.31
734363.625	84	71.13	74.53
734363.6667	82.2	72.67	75.43
734363.7083	82	73.14	73.92
734363.75	79.4	73	72.97
734363.7917	75.6	72.67	71.72
734363.8333	74.4	71.89	76.51999998
734363.875	73.9	70.83	75.1
734363.9167	74.8	70.04	73.55
734363.9583	73.8	69.36	72.51
734364	73.40491803	68.77	71.79
734364.0417	73.7	68.36	71.13
734364.0833	73.4	67.97	70.64
734364.125	69.9	67.73	70.22
734364.1667	69.7	67.53	71.54
734364.2083	69.9	67.01	70.55
734364.25	69.7	66.94	69.78
734364.2917	70.6	66.66	69.26
734364.3333	73.29999999	66.48	69
734364.375	75.5	66.92	69.2
734364.4167	76	67.6	69.65
734364.4583	79.39999999	68.44	70.08
734364.5	77.8	69.15	70.33
734364.5417	78.6	69.98	72.14
734364.5833	77.1	70.84	73.14
734364.625	77.1	71.67	72.87
734364.6667	77.7	71.86	72.73
734364.7083	74.20000001	71.73	71.91
734364.75	73.4	71.1	70.83
734364.7917	73.2	70.59	69.91
734364.8333	72.6	70.12	69.29
734364.875	73.4	69.63	68.9
734364.9167	73.5	69.22	68.58
734364.9583	74	68.81	68.39
734365	73.0704918	68.54	68.23
734365.0417	71.3	68.28	68.15
734365.0833	71.3	68.03	67.97
734365.125	71.3	67.79	67.8
734365.1667	71	67.55	67.63
734365.2083	71.4	67.34	67.46
734365.25	71.2	67.14	67.39
734365.2917	72.7	66.97	67.31
734365.3333	75.49999999	66.87	66.89
734365.375	75.7	66.99	67.67
734365.4167	77	67.42	68.34
734365.4583	79.29999999	68.12	69.32
734365.5	79	68.72	70.26
734365.5417	78.8	69.2	71.27
734365.5833	78.7	69.68	71
734365.625	81.3	70.43	72.02
734365.6667	77.3	71.06	72.89
734365.7083	77	71.11	73.27
734365.75	77	71.09	77.11
734365.7917	75.2	70.74	75.2
734365.8333	74.7	70.17	73.15000001
734365.875	73.1	69.39	71.84
734365.9167	73.1	68.63	70.85
734365.9583	72.5	68.16	70.07
734366	72.76721312	67.79	69.51
734366.0417	70.8	67.43	69.07
734366.0833	69.7	67.09	68.6
734366.125	68.5	66.79	68.09
734366.1667	67.5	66.47	67.61
734366.2083	68.4	66.19	67.28
734366.25	66.9	65.92	67.12
734366.2917	69.5	65.65	67.02
734366.3333	75.69999998	65.46	66.91
734366.375	81.3	65.55	67.3
734366.4167	83.3	66.05	68.96
734366.4583	83.8	67.04	71.16999999
734366.5	81.5	67.67	70.94
734366.5417	81.4	69	72.45
734366.5833	79.10000001	70.2	75.28
734366.625	79.5	72.01	75.63
734366.6667	75.4	72.71	79.28
734366.7083	74.7	72.46	75.30000001
734366.75	75.8	71.43	72.89
734366.7917	74.6	70.71	71.66
734366.8333	73.3	70.03	71.03
734366.875	73	69.65	70.23
734366.9167	72.6	69.19	69.55
734366.9583	72.1	68.71	68.99
734367	71.89344262	68.25	68.53
734367.0417	71.5	67.79	68.23
734367.0833	69.70000001	67.35	67.9
734367.125	69	66.87	67.59
734367.1667	68.2	66.43	67.28
734367.2083	68.9	66	67.01
